base_year,sector,industry,year,period_as_on,wri_index,updated_on
2016,Manufacturing Sector,Silk Textiles,2024,1st January,207.5,2026-04-29
2016,Manufacturing Sector,Silk Textiles,2024,1st January,178.4,2026-04-29
2016,Manufacturing Sector,Silk Textiles,2024,1st January,0.0,2026-04-29
2016,Manufacturing Sector,Silk Textiles,2024,1st January,0.0,2026-04-29
2016,Manufacturing Sector,Silk Textiles,2024,1st January,0.0,2026-04-29
2016,Manufacturing Sector,Silk Textiles,2024,1st January,0.0,2026-04-29
2016,Manufacturing Sector,Silk Textiles,2024,1st January,131.7,2026-04-29
2016,Manufacturing Sector,Silk Textiles,2024,1st January,0.0,2026-04-29
2016,Manufacturing Sector,Silk Textiles,2024,1st January,0.0,2026-04-29
2016,Manufacturing Sector,Silk Textiles,2024,1st January,155.5,2026-04-29
2016,Manufacturing Sector,Synthetic Textiles,2024,1st January,136.9,2026-04-29
2016,Manufacturing Sector,Synthetic Textiles,2024,1st January,162.7,2026-04-29
2016,Manufacturing Sector,Synthetic Textiles,2024,1st January,128.1,2026-04-29
2016,Manufacturing Sector,Synthetic Textiles,2024,1st January,169.6,2026-04-29
2016,Manufacturing Sector,Synthetic Textiles,2024,1st January,237.5,2026-04-29
2016,Manufacturing Sector,Synthetic Textiles,2024,1st January,255.4,2026-04-29
2016,Manufacturing Sector,Synthetic Textiles,2024,1st January,142.8,2026-04-29
2016,Manufacturing Sector,Synthetic Textiles,2024,1st January,192.3,2026-04-29
2016,Manufacturing Sector,Synthetic Textiles,2024,1st January,180.6,2026-04-29
2016,Manufacturing Sector,Synthetic Textiles,2024,1st January,160.0,2026-04-29
2016,Manufacturing Sector,Synthetic Textiles,2024,1st January,154.1,2026-04-29
2016,Manufacturing Sector,Synthetic Textiles,2024,1st January,121.1,2026-04-29
2016,Manufacturing Sector,Synthetic Textiles,2024,1st January,121.6,2026-04-29
2016,Manufacturing Sector,Synthetic Textiles,2024,1st January,83.6,2026-04-29
2016,Manufacturing Sector,Synthetic Textiles,2024,1st January,163.5,2026-04-29
2016,Manufacturing Sector,Synthetic Textiles,2024,1st January,195.5,2026-04-29
2016,Manufacturing Sector,Synthetic Textiles,2024,1st January,168.7,2026-04-29
2016,Manufacturing Sector,Synthetic Textiles,2024,1st January,90.4,2026-04-29
2016,Manufacturing Sector,Synthetic Textiles,2024,1st January,87.1,2026-04-29
2016,Manufacturing Sector,Synthetic Textiles,2024,1st January,172.5,2026-04-29
2016,Manufacturing Sector,Synthetic Textiles,2024,1st January,136.4,2026-04-29
2016,Manufacturing Sector,Synthetic Textiles,2024,1st January,138.4,2026-04-29
2016,Manufacturing Sector,Synthetic Textiles,2024,1st January,143.0,2026-04-29
2016,Manufacturing Sector,Synthetic Textiles,2024,1st January,183.9,2026-04-29
2016,Manufacturing Sector,Synthetic Textiles,2024,1st January,187.1,2026-04-29
2016,Manufacturing Sector,Synthetic Textiles,2024,1st January,144.6,2026-04-29
2016,Manufacturing Sector,Synthetic Textiles,2024,1st January,140.9,2026-04-29
2016,Manufacturing Sector,Synthetic Textiles,2024,1st January,142.0,2026-04-29
2016,Manufacturing Sector,Synthetic Textiles,2024,1st January,142.1,2026-04-29
2016,Manufacturing Sector,Synthetic Textiles,2024,1st January,237.2,2026-04-29
2016,Manufacturing Sector,Synthetic Textiles,2024,1st January,199.3,2026-04-29
2016,Manufacturing Sector,Synthetic Textiles,2024,1st January,126.5,2026-04-29
2016,Manufacturing Sector,Synthetic Textiles,2024,1st January,177.4,2026-04-29
2016,Manufacturing Sector,Synthetic Textiles,2024,1st January,0.0,2026-04-29
2016,Manufacturing Sector,Synthetic Textiles,2024,1st January,77.9,2026-04-29
2016,Manufacturing Sector,Synthetic Textiles,2024,1st January,142.1,2026-04-29
2016,Manufacturing Sector,Synthetic Textiles,2024,1st January,104.3,2026-04-29
2016,Manufacturing Sector,Synthetic Textiles,2024,1st January,120.1,2026-04-29
2016,Manufacturing Sector,Synthetic Textiles,2024,1st January,163.2,2026-04-29
2016,Manufacturing Sector,Synthetic Textiles,2024,1st January,129.7,2026-04-29
2016,Manufacturing Sector,Synthetic Textiles,2024,1st January,143.1,2026-04-29
2016,Manufacturing Sector,Jute Textiles,2024,1st January,135.8,2026-04-29
2016,Manufacturing Sector,Jute Textiles,2024,1st January,141.7,2026-04-29
2016,Manufacturing Sector,Jute Textiles,2024,1st January,133.1,2026-04-29
2016,Manufacturing Sector,Jute Textiles,2024,1st January,98.3,2026-04-29
2016,Manufacturing Sector,Jute Textiles,2024,1st January,110.8,2026-04-29
2016,Manufacturing Sector,Jute Textiles,2024,1st January,150.6,2026-04-29
2016,Manufacturing Sector,Jute Textiles,2024,1st January,113.1,2026-04-29
2016,Manufacturing Sector,Jute Textiles,2024,1st January,159.5,2026-04-29
2016,Manufacturing Sector,Jute Textiles,2024,1st January,118.0,2026-04-29
2016,Manufacturing Sector,Jute Textiles,2024,1st January,129.6,2026-04-29
2016,Manufacturing Sector,Jute Textiles,2024,1st January,104.8,2026-04-29
2016,Manufacturing Sector,Jute Textiles,2024,1st January,112.6,2026-04-29
2016,Manufacturing Sector,Jute Textiles,2024,1st January,135.7,2026-04-29
2016,Manufacturing Sector,Jute Textiles,2024,1st January,138.4,2026-04-29
2016,Manufacturing Sector,Jute Textiles,2024,1st January,168.5,2026-04-29
2016,Manufacturing Sector,Jute Textiles,2024,1st January,116.1,2026-04-29
2016,Manufacturing Sector,Jute Textiles,2024,1st January,72.9,2026-04-29
2016,Manufacturing Sector,Jute Textiles,2024,1st January,204.7,2026-04-29
2016,Manufacturing Sector,Jute Textiles,2024,1st January,117.6,2026-04-29
2016,Manufacturing Sector,Jute Textiles,2024,1st January,180.6,2026-04-29
2016,Manufacturing Sector,Jute Textiles,2024,1st January,100.5,2026-04-29
2016,Manufacturing Sector,Jute Textiles,2024,1st January,70.0,2026-04-29
2016,Manufacturing Sector,Jute Textiles,2024,1st January,172.8,2026-04-29
2016,Manufacturing Sector,Jute Textiles,2024,1st January,227.5,2026-04-29
2016,Manufacturing Sector,Jute Textiles,2024,1st January,118.7,2026-04-29
