year,month,group,item,category,value_cr,source_url,source,updated_on
2022,September,Financial Liabilities,Other Financial Institutions,Non-Banking Financial Companies,36650.3,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2022,December,Financial Liabilities,Other Financial Institutions,Non-Banking Financial Companies,55791.7,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2023,March,Financial Liabilities,Other Financial Institutions,Non-Banking Financial Companies,94565.3,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2022,June,Financial Liabilities,Other Financial Institutions,Housing Finance Companies,22336.7,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2022,September,Financial Liabilities,Other Financial Institutions,Housing Finance Companies,33031.2,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2022,December,Financial Liabilities,Other Financial Institutions,Housing Finance Companies,24903.3,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2023,March,Financial Liabilities,Other Financial Institutions,Housing Finance Companies,36745.8,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2022,June,Financial Liabilities,Other Financial Institutions,Insurance Corporations,2678.0,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2022,September,Financial Liabilities,Other Financial Institutions,Insurance Corporations,1747.9,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2022,December,Financial Liabilities,Other Financial Institutions,Insurance Corporations,2438.7,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2023,March,Financial Liabilities,Other Financial Institutions,Insurance Corporations,1933.2,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2022,June,Financial Liabilities,Non-Financial Corporations (Private Corporate Business),,33.7,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2022,September,Financial Liabilities,Non-Financial Corporations (Private Corporate Business),,33.7,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2022,December,Financial Liabilities,Non-Financial Corporations (Private Corporate Business),,33.7,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2023,March,Financial Liabilities,Non-Financial Corporations (Private Corporate Business),,33.7,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2022,June,Financial Liabilities,General Government,,204.5,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2022,September,Financial Liabilities,General Government,,204.5,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2022,December,Financial Liabilities,General Government,,204.5,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2023,March,Financial Liabilities,General Government,,204.5,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2023,June,Net Financial Assets,,,349607.1,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2023,September,Net Financial Assets,,,283994.4,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2023,December,Net Financial Assets,,,294431.6,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2024,March,Net Financial Assets,,,666547.4,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2023,June,Net Financial Assets,Per cent of GDP,,4.8,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2023,September,Net Financial Assets,Per cent of GDP,,3.9,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2023,December,Net Financial Assets,Per cent of GDP,,3.8,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2024,March,Net Financial Assets,Per cent of GDP,,8.4,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2023,June,Financial Assets,,,671244.1,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2023,September,Financial Assets,,,810128.8,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2023,December,Financial Assets,,,805066.2,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2024,March,Financial Assets,,,1187279.1,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2023,June,Financial Assets,Per cent of GDP,,9.3,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2023,September,Financial Assets,Per cent of GDP,,11.2,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2023,December,Financial Assets,Per cent of GDP,,10.4,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2024,March,Financial Assets,Per cent of GDP,,14.9,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2023,June,Financial Assets,Total Deposits,,266680.3,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2023,September,Financial Assets,Total Deposits,,407948.0,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2023,December,Financial Assets,Total Deposits,,296931.3,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2024,March,Financial Assets,Total Deposits,,406706.9,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2023,June,Financial Assets,Bank Deposits,,253004.1,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2023,September,Financial Assets,Bank Deposits,,501768.5,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2023,December,Financial Assets,Bank Deposits,,277432.0,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2024,March,Financial Assets,Bank Deposits,,390720.4,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2023,June,Financial Assets,Bank Deposits,Commercial Banks,243833.9,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
