year,month,group,item,category,value_cr,source_url,source,updated_on
2022,June,Financial Liabilities,Banking Sector,Commercial Banks,6620073.1,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2022,September,Financial Liabilities,Banking Sector,Commercial Banks,6881338.5,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2022,December,Financial Liabilities,Banking Sector,Commercial Banks,7249643.0,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2023,March,Financial Liabilities,Banking Sector,Commercial Banks,7580934.1,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2022,June,Financial Liabilities,Banking Sector,Co-operative Banks,473897.0,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2022,September,Financial Liabilities,Banking Sector,Co-operative Banks,476024.8,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2022,December,Financial Liabilities,Banking Sector,Co-operative Banks,478486.9,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2023,March,Financial Liabilities,Banking Sector,Co-operative Banks,530915.0,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2022,June,Financial Liabilities,Other Financial Institutions,,1816393.1,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2022,September,Financial Liabilities,Other Financial Institutions,,1887822.6,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2022,December,Financial Liabilities,Other Financial Institutions,,1970956.3,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2023,March,Financial Liabilities,Other Financial Institutions,,2104200.7,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2022,June,Financial Liabilities,Other Financial Institutions,Non-Banking Financial Companies,869174.9,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2022,September,Financial Liabilities,Other Financial Institutions,Non-Banking Financial Companies,905825.3,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2022,December,Financial Liabilities,Other Financial Institutions,Non-Banking Financial Companies,961617.0,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2023,March,Financial Liabilities,Other Financial Institutions,Non-Banking Financial Companies,1056182.3,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2022,June,Financial Liabilities,Other Financial Institutions,Housing Finance Companies,835181.3,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2022,September,Financial Liabilities,Other Financial Institutions,Housing Finance Companies,868212.5,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2022,December,Financial Liabilities,Other Financial Institutions,Housing Finance Companies,893115.8,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2023,March,Financial Liabilities,Other Financial Institutions,Housing Finance Companies,929861.7,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2022,June,Financial Liabilities,Other Financial Institutions,Insurance Corporations,112036.9,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2022,September,Financial Liabilities,Other Financial Institutions,Insurance Corporations,113784.8,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
